match_id,event_slug,market_title,token_w1,token_draw,token_w2,kickoff,resolved_at
J-md2-Argentina-vs-Austria,fifwc-arg-aut-2026-06-22,Argentina vs. Austria,43065377931595109421738195806896155428299627622642742017785976384593510801128,42455935076310849881859802799668778227947193880181063098828866359749449345600,89153404871462295225932923711930844386489455338217882638440216779894680412312,2026-06-22 17:00:00+00,2026-06-13T03:49:56+00:00
J-md2-Jordan-vs-Algeria,fifwc-jor-alg-2026-06-22,Jordan vs. Algeria,79556419900577322611626767862690562089176805129072624901443226554922952966745,1769702396265889184498190792362704022902870513706256830724500024171753050535,115548088586633825662425519500723984422794579404944891967166045543435931523785,2026-06-23 03:00:00+00,2026-06-13T03:49:56+00:00
J-md3-Algeria-vs-Austria,fifwc-alg-aut-2026-06-27,Algeria vs. Austria,82930050367767323602185033959522193504232064039705778455362784267890724471276,54474886969816453525385753955468883023194567537518813967701106946658819435076,101870693068643777907933185168096005823100471428921617507976765091257562327892,2026-06-28 02:00:00+00,2026-06-13T03:49:56+00:00
J-md3-Jordan-vs-Argentina,fifwc-jor-arg-2026-06-27,Jordan vs. Argentina,45668841020533558878058431264255444612420443086293898941905939792694888997711,616354135091983275441980781778127730973983204686602475633890523765647649939,89969054941820905260983372139923320038115693660830083208242956669285748681379,2026-06-28 02:00:00+00,2026-06-13T03:49:56+00:00
K-md1-Portugal-vs-DR_Congo,fifwc-prt-cdr-2026-06-17,Portugal vs. DR Congo,76071109489406808599878692125264766321676001700733380917373465772841855210643,2328333301741750345417630454121106244367883081134709887163965516147303610120,59454896622130760276442490722222126894150925046963444585060045915889624278803,2026-06-17 17:00:00+00,2026-06-13T03:49:56+00:00
K-md1-Uzbekistan-vs-Colombia,fifwc-uzb-col-2026-06-17,Uzbekistan vs. Colombia,42349324891891531052261785579549036042703894030589864369388972549681820562082,29696609003438481519695227807182574735991421576025755342707611041941932867266,107303881689780116979934419713652545873528717512161697004408881489729317049047,2026-06-18 02:00:00+00,2026-06-13T03:49:56+00:00
K-md2-Colombia-vs-DR_Congo,fifwc-col-cdr-2026-06-23,Colombia vs. DR Congo,34999267410182663441586115553518943962188580583548745660828050477474485422496,79983794318718332304327981666825218942232843954396702058226061148160445738463,27087363386694674049005402437888440764538397638814511740652870655708130928058,2026-06-24 02:00:00+00,2026-06-13T03:49:56+00:00
K-md2-Portugal-vs-Uzbekistan,fifwc-prt-uzb-2026-06-23,Portugal vs. Uzbekistan,46788745865873849751895851580006231458025441200398102606849707486161173481896,24809423528124284224090069515582587237857005059059577506414057066347413921482,76563067682631227603609066044534706683559659816004868232381337856810074987695,2026-06-23 17:00:00+00,2026-06-13T03:49:56+00:00
K-md3-Colombia-vs-Portugal,fifwc-col-prt-2026-06-27,Colombia vs. Portugal,66645018399244327793816970436640892806720466803924622381310200425167561934656,59969732588381163791331816857468861959000541135529686594887337761858409837896,68238163315667435120694805573568977252273759352712823951184501420027891362809,2026-06-27 23:30:00+00,2026-06-13T03:49:56+00:00
K-md3-DR_Congo-vs-Uzbekistan,fifwc-cdr-uzb-2026-06-27,DR Congo vs. Uzbekistan,32203747233944015438487799675613943430837031417969455986362970409671575279826,81552362010142345634703929302259930833935413033049071585470045256395801009970,18008867159313570769262912171658897336337384293159822028565187451480762621316,2026-06-27 23:30:00+00,2026-06-13T03:49:56+00:00
L-md1-England-vs-Croatia,fifwc-eng-hrv-2026-06-17,England vs. Croatia,45513813860398961340723481590130352932611791552209098368268600222240572304551,92623193147229968536967595026209377290569876277152414806208806159046880692537,55443738818158231803517291185008080654932985451404315852703585757411667902597,2026-06-17 20:00:00+00,2026-06-13T03:49:56+00:00
L-md1-Ghana-vs-Panama,fifwc-gha-pan-2026-06-17,Ghana vs. Panama,4583065636155233526779653080435458405485537158452842777526478181105245518840,61203648901328553286317484050722946819387883550381338646535487039149670812946,98450368978745606301240607141388168410536324949220985931158206007509106995457,2026-06-17 23:00:00+00,2026-06-13T03:49:56+00:00
L-md2-England-vs-Ghana,fifwc-eng-gha-2026-06-23,England vs. Ghana,63611572432092712507452794046269856873324193737948513078896856667745770559698,113575947344702991323223447752604645066262694843576298874524902811228579544185,111239697803361919523803068759725643725914563280609261384832780529311817077235,2026-06-23 20:00:00+00,2026-06-13T03:49:56+00:00
L-md2-Panama-vs-Croatia,fifwc-pan-hrv-2026-06-23,Panama vs. Croatia,24996055382005658349790471423878721697831808533961896596758588230034679203014,281014131890775346711528419616637935334914824702644832308015615443957627676,109027609951989526893628757693490068717900103024949393927658066962316915180001,2026-06-23 23:00:00+00,2026-06-13T03:49:56+00:00
L-md3-Croatia-vs-Ghana,fifwc-hrv-gha-2026-06-27,Croatia vs. Ghana,23522010053796928314095406008924900761833610419543982088160250459540934114445,73617947654081997431498367652195704493094967542363882616248674397638553207873,90597327262250836004646033934453860417100833449408628755662053427096482500586,2026-06-27 21:00:00+00,2026-06-13T03:49:56+00:00
L-md3-Panama-vs-England,fifwc-pan-eng-2026-06-27,Panama vs. England,59058041199432950171496335927523101634207424833883434829808368909648870164143,59060314792119542598872086330330421934194999186952058617387110515321473268432,93320332124999747203356838766183249400983580913731153318561555477528481141967,2026-06-27 21:00:00+00,2026-06-13T03:49:56+00:00
